simplified_chinese,traditional_chinese,pinyin,english_meaning,part_of_speech,hsk_level,example_sentence_chinese,example_sentence_pinyin,example_sentence_english
素质,素質,sù zhì,phẩm chất bên trong/bản chất cơ bản,N,6,她的素质非常高。,Tā de sùzhì fēicháng gāo.,Chất lượng của cô ấy rất cao.
算了,算了,suàn le,cứ để vậy/để nó trôi qua/quên nó đi,V,6,这次的事情就算了吧。,Zhè cì de shìqíng jiù suànle ba.,Chuyện lần này thôi bỏ qua đi.
算是,算是,suàn shì,được coi là/cuối cùng,Adv,6,,,
虽,雖,suī,mặc dù/mặc dù,Conj,6,,,
岁数,歲數,suì shù,tuổi (số năm tuổi),N,6,,,
所,所,suǒ,"thực tế/nơi chốn/phân loại cho nhà cửa, tòa nhà nhỏ, tổ chức, v.v./cái mà/hạt giới thiệu mệnh đề quan hệ hoặc bị động/CL:個|个[ge4]",N/M,6,这个问题所涉及的范围很广。,Zhège wèntí suǒ shèjí de fànwéi hěn guǎng.,Phạm vi vấn đề này liên quan rất rộng.
塔,"墖,塔",tǎ,biến thể cũ của 塔[ta3],N,6,,,
踏,踏,tà,bước/dậm/giẫm lên/nhấn bàn đạp/điều tra tại chỗ,V,6,,,
踏实,踏實,tà shí,vững chắc/ổn định/kiên định/có sự an tâm/không lo lắng/Đài Loan [ta4 shi2],Adj,6,他踏实地完成了工作。,Tā tàshi de wánchéng le gōngzuò.,Anh ấy hoàn thành công việc một cách ổn thỏa.
台灯,檯燈,tái dēng,đèn bàn/đèn bàn,N,6,,,
太阳能,太陽能,tài yáng néng,năng lượng mặt trời,N,6,,,
探索,探索,tàn suǒ,để khám phá; để thăm dò,V,6,我们一起探索新领域吧。,Wǒmen yīqǐ tànsuǒ xīn lǐngyù ba.,Chúng ta cùng khám phá lĩnh vực mới nhé.
探讨,探討,tàn tǎo,để điều tra/để thăm dò,V,6,我们需要探讨这个问题的解决办法。,Wǒmen xūyào tàntǎo zhège wèntí de jiějué bànfǎ.,Chúng ta cần thảo luận về cách giải quyết vấn đề này.
叹气,嘆氣,tàn qì,thở dài/thở dài,,6,她叹气说，她很累。,"Tā tànqì shuō, tā hěn lèi.",Cô ấy thở dài nói rằng cô ấy rất mệt.
趟,"趟,䠀",tàng,"bộ phân loại theo thời gian, khứ hồi hoặc hàng/thời gian/chuyến đi",M,6,我刚刚去了一趟商店。,Wǒ gānggāng qù le yī tàng shāngdiàn.,Tôi vừa đi một chuyến đến cửa hàng.
掏,"掏,搯",tāo,biến thể của 掏[tao1],V,6,他把垃圾掏出来扔掉了。,Tā bǎ lājī tāo chūlái rēng diào le.,Anh ấy lấy rác ra và vứt đi.
特,特,tè,"đặc biệt/độc đáo/nổi bật/đặc biệt/bất thường/rất/viết tắt cho 特克斯[te4 ke4 si1], tex",Adv,6,,,
特大,特大,tè dà,cực kỳ lớn,Adj,6,,,
特地,特地,tè dì,đặc biệt/cho một mục đích đặc biệt,Adv,6,,,
特快,特快,tè kuài,"chuyển phát nhanh (tàu hỏa, giao hàng, v.v.)",Adj,6,,,
特意,特意,tè yì,đặc biệt/cố ý,Adv,6,,,
疼痛,疼痛,téng tòng,đau/(của một bộ phận cơ thể) đau đớn; đau nhức; đau/(của một người) đau đớn,Adj,6,,,
踢,踢,tī,đá/chơi (ví dụ: bóng đá)/(tiếng lóng) tomboy (trong một mối quan hệ đồng tính nữ),V,6,,,
提交,提交,tí jiāo,"nộp (báo cáo, v.v.)/chuyển (vấn đề) cho ai đó",V,6,,,
提升,提昇,tí shēng,thăng chức (lên vị trí cao hơn)/nâng lên; kéo lên/(hình) nâng cao; nâng lên; cải thiện,V,6,,,
田,田,tián,cánh đồng/trang trại/CL:片[pian4],N,6,,,
田径,田徑,tián jìng,điền kinh (điền kinh),N,6,他参加了全国田径比赛。,Tā cānjiā le quánguó tiánjìng bǐsài.,Anh ấy đã tham gia cuộc thi điền kinh toàn quốc.
天然,天然,tiān rán,tự nhiên,Adj,6,,,
天堂,天堂,tiān táng,thiên đường/thiên đường,N,6,天堂是一个充满美好幻想的地方。,Tiāntáng shì yī gè chōngmǎn měihǎo huànxiǎng de dìfāng.,Thiên đường là một nơi đầy những ảo tưởng đẹp đẽ.
添,添,tiān,thêm vào; tăng lên; bổ sung,V,6,,,
天下,天下,tiān xià,đất dưới gầm trời/toàn thế giới/toàn thể Trung Quốc/vương quốc/quyền cai trị,N,6,,,
跳水,跳水,tiào shuǐ,"nhảy (xuống nước)/(thể thao) lặn/tự tử bằng cách nhảy xuống nước/(hình) (giá cổ phiếu, v.v.) giảm mạnh",V,6,,,
听取,聽取,tīng qǔ,nghe (tin tức); lắng nghe,V,6,,,
同胞,同胞,tóng bāo,sinh ra từ cùng cha mẹ/anh chị em/đồng hương/đồng hương,N,6,他们是亲密的同胞兄弟。,Tāmen shì qīnmì de tóngbāo xiōngdì.,Họ là anh em ruột thân thiết.
同行,同行,tóng háng,cùng nhau hành trình,N,6,,,
通红,通紅,tòng hóng,rất đỏ/đỏ rực/đỏ bừng (đỏ thẫm),Adj,6,,,
铜牌,銅牌,tóng pái,"huy chương đồng/tấm bảng đồng có khắc tên doanh nghiệp hoặc logo, v.v./CL:枚[mei2]",N,6,,,
同期,同期,tóng qī,"khoảng thời gian tương ứng (trong một năm khác, v.v.)/đồng thời/đồng bộ",N,6,,,
同,"仝,同,衕",tóng,xem 衚衕|胡同[hu2 tong4],Adj/Adv/Prep,6,,,
通报,通報,tōng bào,thông báo/thông báo/công bố/thông tư/bản tin/tạp chí (khoa học),V/N,6,,,
通道,通道,tōng dào,(truyền thông) kênh/lộ trình/đoạn đường,N,6,,,
通话,通話,tōng huà,để giữ một cuộc trò chuyện/nói chuyện qua điện thoại/cuộc gọi điện thoại,,6,,,
通讯,通訊,tōng xùn,thông tin liên lạc/tin tức/công văn/CL:個|个[ge4],N,6,,,
通行,通行,tōng xíng,đi qua/đi qua/được sử dụng rộng rãi,V,6,,,
同一,同一,tóng yī,giống hệt nhau; giống hệt nhau,Adj,6,,,
透露,透露,tòu lù,rò rỉ ra ngoài/tiết lộ/tiết lộ,V,6,,,
投票,投票,tóu piào,bỏ phiếu/bỏ phiếu,,6,我们在投票中支持他。,Wǒmen zài tóupiào zhōng zhīchí tā.,Chúng tôi ủng hộ anh ấy trong cuộc bỏ phiếu.
头疼,頭疼,tóu téng,đau đầu,Adj,6,,,
徒弟,徒弟,tú dì,người học việc/đệ tử,N,6,他是我的徒弟。,Tā shì wǒ de túdì.,Anh ấy là đồ đệ của tôi.
土,土,tǔ,đất/bụi/đất sét/địa phương/bản địa/thuốc phiện thô/thô sơ/một trong tám loại nhạc cụ cổ đại 八音[ba1 yin1],N,6,,,
途径,途徑,tú jìng,cách; phương tiện; kênh,N,6,我们找到了一条新的途径。,Wǒmen zhǎodào le yī tiáo xīn de tújìng.,Chúng tôi đã tìm ra một con đường mới.
图书,圖書,tú shū,"sách (trong thư viện hoặc hiệu sách)/CL:本[ben3],冊|册[ce4],部[bu4]",N,6,,,
团队,團隊,tuán duì,đội,N,6,,,
推出,推出,tuī chū,đẩy ra/phát hành/ra mắt/xuất bản/khuyến nghị,V,6,,,
退票,退票,tuì piào,trả lại (một tấm séc)/trả lại vé/hoàn tiền vé,,6,,,
吞,吞,tūn,nuốt/uống,V,6,,,
托,"托,託",tuō,tin tưởng/ủy thác/được ủy thác/hành động như người được ủy thác,V,6,,,
拖,"拖,拕",tuō,kéo/kéo/kéo lê/treo xuống/lau (sàn nhà)/trì hoãn/kéo lê,V,6,,,
拖鞋,拖鞋,tuō xié,"dép/dép/dép xỏ ngón/CL:雙|双[shuang1],隻|只[zhi1]",N,6,,,
挖,挖,wā,đào/khai quật/múc ra,V,6,,,
哇,哇,wa,"thay thế 啊[a5] khi theo sau nguyên âm ""u"" hoặc ""ao""",Aux,6,哇，你看那个！,"Wa, nǐ kàn nàge!","Oa, nhìn kìa!"
娃娃,娃娃,wá wá,em bé/trẻ nhỏ/búp bê,N,6,她的女儿喜欢玩娃娃。,Tā de nǚ'ér xǐhuān wán wáwa.,Con gái của cô ấy thích chơi búp bê.
外币,外幣,wài bì,ngoại tệ,N,6,,,
外部,外部,wài bù,bên ngoài; (thuộc tính) bên ngoài/bên ngoài; bề mặt,N,6,,,
外出,外出,wài chū,"đi ra ngoài/đi xa (đi du lịch, v.v.)",V,6,,,
外观,外觀,wài guān,vẻ bề ngoài,N,6,,,
外科,外科,wài kē,phẫu thuật (ngành y khoa),N,6,,,
外来,外來,wài lái,bên ngoài/nước ngoài/bên ngoài,Adj,6,,,
外头,外頭,wài tou,bên ngoài/ngoài,N,6,,,
外衣,外衣,wài yī,quần áo bên ngoài/vẻ ngoài/ngoại hình,N,6,,,
外资,外資,wài zī,đầu tư nước ngoài,N,6,,,
顽皮,頑皮,wán pí,nghịch ngợm,Adj,6,,,
顽强,頑強,wán qiáng,ngoan cường/khó bị đánh bại,Adj,6,他表现得很顽强。,Tā biǎoxiàn de hěn wánqiáng.,Anh ấy thể hiện rất kiên cường.
弯曲,彎曲,wān qū,uốn cong/cong quanh/cong/xoắn/cuộn/xoắn ốc,Adj,6,,,
网吧,網吧,wǎng ba,Quán cà phê Internet,N,6,,,
王后,王后,wáng hòu,"queen/CL:個|个[ge4],位[wei4]",N,6,,,
望见,望見,wàng jiàn,để do thám/để phát hiện,,6,,,
往后,往後,wǎng hòu,từ bây giờ/trong tương lai/thời gian tới,N,6,,,
往来,往來,wǎng lái,giao dịch/liên lạc/qua lại,V,6,,,
往年,往年,wǎng nián,trong những năm trước; trong những năm trước,N,6,,,
网页,網頁,wǎng yè,trang web,N,6,,,
王子,王子,wáng zǐ,hoàng tử/con trai của một vị vua,N,6,王子住在一座城堡里。,Wángzǐ zhù zài yī zuò chéngbǎo lǐ.,Hoàng tử sống trong một lâu đài.
微波炉,微波爐,wēi bō lú,lò vi sóng/CL:臺|台[tai2],N,6,,,
为此,為此,wèi cǐ,vì lý do này/liên quan đến điều này/về mặt này/để làm điều này/vì mục đích này,Conj,6,,,
为何,為何,wèi hé,Tại sao,Adv,6,,,
危机,危機,wēi jī,khủng hoảng/CL:個|个[ge4],N,6,公司正面临财务危机。,Gōngsī zhèng miànlín cáiwù wēijī.,Công ty đang đối mặt với khủng hoảng tài chính.
维生素,維生素,wéi shēng sù,vitamin,N,6,多吃水果可以补充维生素。,Duō chī shuǐguǒ kěyǐ bǔchōng wéishēngsù.,Ăn nhiều trái cây có thể bổ sung vitamin.
威胁,威脅,wēi xié,đe dọa; đe dọa,V,6,他的行为对我们构成了威胁。,Tā de xíngwéi duì wǒmen gòuchéngle wēixié.,Hành vi của anh ấy gây ra mối đe dọa cho chúng tôi.
文娱,文娛,wén yú,giải trí văn hóa/giải trí,N,6,,,
卧铺,臥鋪,wò pù,một cái giường (trên tàu)/một chiếc ghế dài,N,6,,,
误,誤,wù,sai lầm/lỗi/bỏ lỡ/gây hại/trì hoãn/bỏ bê/nhầm lẫn,V,6,,,
舞蹈,舞蹈,wǔ dǎo,khiêu vũ (nghệ thuật trình diễn)/khiêu vũ,N,6,她跳舞跳得很好。,Tā tiàowǔ tiào de hěn hǎo.,Cô ấy nhảy rất đẹp.
无边,無邊,wú biān,không có ranh giới/không có biên giới,V,6,,,
无关,無關,wú guān,không liên quan/không liên quan gì (với cái gì khác),V,6,,,
无效,無效,wú xiào,không hợp lệ/không hiệu quả/vô ích,V,6,,,
物品,物品,wù pǐn,bài viết; hàng hóa,N,6,,,
乌云,烏雲,wū yún,đám mây đen,N,6,,,
西班牙语,西班牙語,xī bān yá yǔ,Tiếng Tây Ban Nha,N,6,,,
细胞,細胞,xì bāo,tế bào (sinh học),N,6,细胞是生物的基本单位。,Xìbāo shì shēngwù de jīběn dānwèi.,Tế bào là đơn vị cơ bản của sinh vật.
吸毒,吸毒,xī dú,dùng thuốc,,6,,,
细菌,細菌,xì jūn,vi khuẩn/vi trùng,N,6,细菌会引起疾病。,Xìjūn huì yǐnqǐ jíbìng.,Vi khuẩn có thể gây ra bệnh tật.
戏曲,戲曲,xì qǔ,Kinh kịch Trung Quốc,N,6,,,
牺牲,犧牲,xī shēng,hy sinh mạng sống của mình/hy sinh (cái gì được coi trọng)/con vật bị giết làm vật hiến tế,V/N,6,他为国家牺牲了。,Tā wèi guójiā xīshēng le.,Anh ấy đã hy sinh vì đất nước.
洗衣粉,洗衣粉,xǐ yī fěn,bột giặt/bột giặt,N,6,,,
嫌,嫌,xián,"không thích/nghi ngờ/bực tức/thù địch/viết tắt cho 嫌犯[xian2 fan4], nghi phạm hình sự",V,6,我对他的行为感到很嫌。,Wǒ duì tā de xíngwéi gǎndào hěn xián.,Tôi cảm thấy rất ghét hành vi của anh ấy.
险,險,xiǎn,nguy hiểm/nguy hiểm/gồ ghề,Adj,6,,,
显出,顯出,xiǎn chū,để thể hiện/trưng bày,,6,,,
先锋,先鋒,xiān fēng,tiên phong; người tiên phong; người tiên phong,N,6,,,
线路,線路,xiàn lù,đường dây (điện); mạch điện; dây/đường (giao thông); đường ray; tuyến đường,N,6,,,
陷入,陷入,xiàn rù,chìm vào/bị cuốn vào/rơi vào (một tình thế khó xử),V,6,她陷入了困境。,Tā xiànrù le kùnjìng.,Cô ấy rơi vào hoàn cảnh khó khăn.
想不到,想不到,xiǎng bú dào,bất ngờ/khó tưởng tượng/tôi chưa từng nghĩ đến điều đó/ai có thể nghĩ đến điều đó,V,6,,,
响声,響聲,xiǎng shēng,tiếng ồn,N,6,,,
晓得,曉得,xiǎo de,để biết,V,6,,,
小费,小費,xiǎo fèi,tiền boa/tiền boa,N,6,,,
消耗,消耗,xiāo hào,sử dụng hết/tiêu thụ,V/N,6,这个机器消耗很多电。,Zhège jīqì xiāohào hěnduō diàn.,Cái máy này tiêu thụ rất nhiều điện.
笑脸,笑臉,xiào liǎn,mặt cười/mặt cười :) ☺/CL:副[fu4],N,6,,,
小麦,小麥,xiǎo mài,lúa mì/CL:粒[li4],N,6,我们种了很多小麦。,Wǒmen zhòngle hěn duō xiǎomài.,Chúng tôi trồng rất nhiều lúa mì.
消灭,消滅,xiāo miè,chấm dứt/hủy diệt/khiến diệt vong/hủy diệt/hủy diệt (trong lý thuyết trường lượng tử),V,6,,,
笑容,笑容,xiào róng,cười/biểu cảm mỉm cười/CL:副[fu4],N,6,,,
笑声,笑聲,xiào shēng,tiếng cười,N,6,,,
小于,小於,xiǎo yú,"ít hơn, <",V,6,,,
协会,協會,xié huì,"một hiệp hội/một xã hội/CL:個|个[ge4],家[jia1]",N,6,他是这个协会的成员。,Tā shì zhège xiéhuì de chéngyuán.,Anh ấy là thành viên của hiệp hội này.
协商,協商,xié shāng,tham khảo ý kiến/thảo luận/thỏa thuận,V,6,我们需要协商解决这个问题。,Wǒmen xūyào xiéshāng jiějué zhège wèntí.,Chúng ta cần thỏa thuận để giải quyết vấn đề này.
协调,協調,xié tiáo,"phối hợp/hài hòa/phù hợp với nhau/phù hợp (màu sắc, v.v.)/hài hòa/đồng bộ",V/Adj,6,,,
写字楼,寫字樓,xiě zì lóu,tòa nhà văn phòng,N,6,,,
协助,協助,xié zhù,cung cấp hỗ trợ/hỗ trợ,V,6,他协助我们完成了任务。,Tā xiézhù wǒmen wánchéng le rènwù.,Anh ấy đã giúp đỡ chúng tôi hoàn thành nhiệm vụ.
写字台,寫字檯,xiě zì tái,bàn viết,N,6,,,
心灵,心靈,xīn líng,sáng suốt/thông minh/nhanh trí/trái tim/suy nghĩ/tinh thần,N,6,他的心灵非常纯洁。,Tā de xīnlíng fēicháng chúnjié.,Tâm hồn của anh ấy rất thuần khiết.
新人,新人,xīn rén,"người mới đến/tài năng mới/người mới cưới, đặc biệt là cô dâu mới/cô dâu và chú rể/(cổ nhân chủng học) Homo sapiens",N,6,,,
薪水,薪水,xīn shuǐ,lương/tiền công,N,6,公司每月发放薪水。,Gōngsī měi yuè fāfàng xīnshuǐ.,Công ty phát lương hàng tháng.
新兴,新興,xīn xīng,"(của thị trường, ngành công nghiệp, bệnh truyền nhiễm, v.v.) đang nổi lên/mới nổi/đang gia tăng",Adj,6,,,
信仰,信仰,xìn yǎng,tin vào (một tôn giáo)/niềm tin vững chắc/niềm tin,V,6,他信仰基督教。,Tā xìnyǎng Jīdūjiào.,Anh ấy theo đạo Thiên Chúa.
信用,信用,xìn yòng,sự đáng tin cậy/(thương mại) tín dụng/(văn học) tin tưởng và bổ nhiệm,N,6,,,
心愿,心願,xīn yuàn,mong muốn/ước mơ/thèm muốn/ước ao/khát vọng ấp ủ,N,6,,,
心脏,心臟,xīn zàng,"heart/CL:顆|颗[ke1],個|个[ge4]",N,6,心脏是人体重要的器官之一。,Xīnzàng shì réntǐ zhòngyào de qìguān zhī yī.,Tim là một trong những cơ quan quan trọng của cơ thể.
心脏病,心臟病,xīn zàng bìng,bệnh tim,N,6,,,
形,形,xíng,xuất hiện/trông/hình dạng/hình dạng,N,6,,,
行程,行程,xíng chéng,hành trình; lộ trình di chuyển; khoảng cách di chuyển/quá trình (của lịch sử)/hành trình (của piston)/(Tw) (tính toán) quá trình,N,6,,,
兴旺,興旺,xīng wàng,thịnh vượng/phát đạt/thịnh vượng/phát đạt,Adj,6,他经营的生意非常兴旺。,Tā jīngyíng de shēngyì fēicháng xīngwàng.,Việc kinh doanh của anh ấy rất thịnh vượng.
凶,"兇,凶",xiōng,hung dữ/hung dữ/ghê tởm/xấu xa/nạn đói/biến thể của 兇|凶[xiong1],Adj,6,,,
凶手,兇手,xiōng shǒu,kẻ giết người/sát thủ,N,6,警察抓住了凶手。,Jǐngchá zhuāzhù le xiōngshǒu.,Cảnh sát đã bắt được kẻ giết người.
修车,修車,xiū chē,"sửa xe đạp (ô tô, v.v.)",,6,,,
袖珍,袖珍,xiù zhēn,"bỏ túi/túi (sách, v.v.)",Adj,6,,,
悬,懸,xuán,treo hoặc tạm dừng/lo lắng/thông báo công khai/chưa giải quyết/vô căn cứ/không có cơ sở,V,6,,,
选拔,選拔,xuǎn bá,để lựa chọn tốt nhất,V,6,我们正在选拔人才。,Wǒmen zhèngzài xuǎnbá réncái.,Chúng tôi đang tuyển chọn nhân tài.
选举,選舉,xuǎn jǔ,"bầu cử/bầu cử/CL:次[ci4],個|个[ge4]",V/N,6,,,
旋转,旋轉,xuán zhuǎn,xoay/xoay tròn/xoay tròn/xoáy,V,6,这个玩具可以旋转。,Zhège wánjù kěyǐ xuánzhuǎn.,Đồ chơi này có thể xoay.
血管,血管,xuè guǎn,tĩnh mạch/động mạch/CL:根[gen1],N,6,,,
学会,學會,xué huì,học/thành thạo/học viện/xã hội học thuật/hiệp hội (học thuật),N,6,,,
血液,血液,xuè yè,máu,N,6,,,
学员,學員,xué yuán,sinh viên/thành viên của một cơ sở giáo dục/học viên sĩ quan,N,6,,,
循环,循環,xún huán,đi vòng/lưu thông/vòng tròn/vòng lặp,V,6,这个过程是一个循环。,Zhège guòchéng shì yī gè xúnhuán.,Quá trình này là một chu trình.
压迫,壓迫,yā pò,áp bức/đàn áp/co thắt/áp bức/căng thẳng (vật lý),V,6,他感到受到压迫。,Tā gǎndào shòudào yāpò.,Anh ấy cảm thấy bị áp bức.
宴会,宴會,yàn huì,"bữa tiệc/bữa tiệc/bữa tối/CL:席[xi2],個|个[ge4]",N,6,我们在宴会上度过了一个愉快的夜晚。,Wǒmen zài yànhuì shàng dùguòle yīgè yúkuài de yèwǎn.,Chúng tôi đã có một buổi tối vui vẻ tại bữa tiệc.
眼看,眼看,yǎn kàn,sớm/trong chốc lát/để xem điều gì đó xảy ra,V/Adv,6,,,
研发,研發,yán fā,nghiên cứu và phát triển/phát triển,V,6,,,
沿,沿,yán,"dọc theo/theo (một đường thẳng, truyền thống, v.v.)/mang theo/cắt tỉa (một đường viền bằng dây bện, băng dính, v.v.)/đường viền/cạnh",Prep,6,,,
沿海,沿海,yán hǎi,ven biển,N,6,这个城市沿海。,Zhège chéngshì yánhǎi.,Thành phố này ven biển.
演奏,演奏,yǎn zòu,biểu diễn trên một nhạc cụ,V,6,她在钢琴上演奏了一首优美的曲子。,Tā zài gāngqín shàng yǎnzòule yī shǒu yōuměi de qǔzi.,Cô ấy chơi một bản nhạc đẹp trên piano.
烟花,煙花,yān huā,pháo hoa/gái mại dâm (đặc biệt là ở nhà hát Nguyên),N,6,,,
沿着,沿著,yán zhe,đi cùng/theo sau,,6,,,
仰,仰,yǎng,hướng lên trên/nhìn lên/ngưỡng mộ/dựa vào,V,6,,,
养老,養老,yǎng lǎo,chăm sóc người già (thành viên gia đình)/tận hưởng cuộc sống khi nghỉ hưu,,6,,,
氧气,氧氣,yǎng qì,ôxy,N,6,植物需要氧气才能生长。,Zhíwù xūyào yǎngqì cáinéng shēngzhǎng.,Thực vật cần oxy để phát triển.
洋,洋,yáng,đồng đô la hoặc đồng xu bạc/đại dương/nước ngoài/bạc,Adj,6,,,
